"","End.Date","State","YearQuarter","YearMonth","Latino","Indigenous","Asian","Black","Pacific Islander","White","More than one race"
"103",2021-09-30,"Florida","Cumulative from 2020, Quarter 2 through 2021, Quarter 3","9/2021",224.184167032336,179.773631977693,130.902991476158,296.537893437692,196.215837421163,279.12958183106,NA
"104",2021-12-31,"Florida","Cumulative from 2020, Quarter 2 through 2021, Quarter 4","12/2021",241.698011578617,192.614605690386,139.51293245023,318.781197270264,231.2543798178,301.161336169976,NA
"105",2022-03-31,"Florida","Cumulative from 2020, Quarter 2 through 2022, Quarter 1","3/2022",273.195104402167,220.130977931869,158.008361209346,352.101725647951,259.285213735109,352.395352851855,NA
"106",2020-06-30,"Georgia","2020, Quarter 2","6/2020",13.0157003055412,NA,7.62994754411063,36.2878045672723,NA,21.6937062357092,NA
"107",2020-09-30,"Georgia","Cumulative from 2020, Quarter 2 through 2020, Quarter 3","9/2020",43.7290075013507,NA,23.9495575690139,83.9082082955213,NA,59.5218801308648,NA
"108",2020-12-31,"Georgia","Cumulative from 2020, Quarter 2 through 2020, Quarter 4","12/2020",58.5238323090882,NA,38.1497377205532,114.030609174179,NA,103.651731630383,NA
"109",2021-03-31,"Georgia","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",87.2707387393124,52.9855308742613,71.8486727070418,173.952461214473,NA,177.642118674714,NA
"110",2021-06-30,"Georgia","Cumulative from 2020, Quarter 2 through 2021, Quarter 2","6/2021",92.046283455734,57.0613409415121,77.9950193397976,186.488782047989,132.205182443152,189.086544668844,NA
"111",2021-09-30,"Georgia","Cumulative from 2020, Quarter 2 through 2021, Quarter 3","9/2021",118.077684066816,97.8194416140208,87.1085677952631,247.085892587511,224.748810153358,268.599953751481,NA
"112",2021-12-31,"Georgia","Cumulative from 2020, Quarter 2 through 2021, Quarter 4","12/2021",133.153423269638,105.971061748523,95.1624013140465,269.956604365752,224.748810153358,300.198883118186,NA
"113",2022-03-31,"Georgia","Cumulative from 2020, Quarter 2 through 2022, Quarter 1","3/2022",148.790991262626,110.046871815773,110.634239389604,307.213258084092,237.969328397673,354.740989280086,NA
"114",2020-06-30,"Hawaii","2020, Quarter 2","6/2020",NA,0,NA,NA,NA,NA,NA
"115",2020-09-30,"Hawaii","Cumulative from 2020, Quarter 2 through 2020, Quarter 3","9/2020",7.79509298896345,NA,24.1563111332874,NA,35.9350821739991,5.31549100187039,NA
"116",2020-12-31,"Hawaii","Cumulative from 2020, Quarter 2 through 2020, Quarter 4","12/2020",14.2910038130997,NA,36.2344666999311,NA,64.5364741084066,10.2987638161239,NA
"117",2021-03-31,"Hawaii","Cumulative from 2020, Quarter 2 through 2021, Quarter 1","3/2021",19.4877324724086,NA,44.7485763616635,NA,79.2038545875899,12.6242911294422,NA
"118",2021-06-30,"Hawaii","Cumulative from 2020, Quarter 2 through 2021, Quarter 2","6/2021",24.034870049304,NA,48.1146197163019,NA,85.8041758032224,14.6176002551436,NA
