"","End.Date","State","Race.Ethnicity","Number of COVID-19 Deaths","Population","Crude Rate","age_adjusted_rate_direct","age_adjusted_rate_indirect","Direct_Available","Age-Adjusted Rate"
"263","04/30/2022","Tennessee","Pacific Islander","     18",3844,468,NA,NA,FALSE,NA
"264","04/30/2022","Tennessee","Latino","    673",404410,166,422.058399191342,491.486668234003,TRUE,422
"265","04/30/2022","Texas","White"," 43,580",11975667,364,323.175727578433,325.644955928179,TRUE,323
"266","04/30/2022","Texas","Black"," 10,216",3586857,285,427.132484738665,447.130786311533,TRUE,427
"267","04/30/2022","Texas","Indigenous","    204",95565,213,NA,222.852689441567,FALSE,223
"268","04/30/2022","Texas","Asian","  1,784",1526932,117,188.304128538269,178.768206171917,TRUE,188
"269","04/30/2022","Texas","Pacific Islander","     84",26682,315,NA,NA,FALSE,NA
"270","04/30/2022","Texas","Latino"," 38,802",11691857,332,609.400796449792,636.289296195777,TRUE,609
"271","04/30/2022","Utah","White","  3,934",2522370,156,199.425850993115,200.053939706593,TRUE,199
"272","04/30/2022","Utah","Black","     43",38045,113,NA,NA,FALSE,NA
"273","04/30/2022","Utah","Indigenous","    171",30125,568,889.753434164683,NA,TRUE,890
"274","04/30/2022","Utah","Asian","    111",82431,135,NA,NA,FALSE,NA
"275","04/30/2022","Utah","Pacific Islander","    137",33619,408,NA,NA,FALSE,NA
"276","04/30/2022","Utah","Latino","    679",471647,144,NA,390.924624473444,FALSE,391
"277","04/30/2022","Vermont","White","    605",575524,105,NA,88.6359287174413,FALSE,89
"278","04/30/2022","Vermont","Black","     NA",8225,NA,NA,NA,FALSE,NA
"279","04/30/2022","Vermont","Indigenous","     NA",2024,NA,NA,NA,FALSE,NA
"280","04/30/2022","Vermont","Asian","     NA",12351,NA,NA,NA,FALSE,NA
"281","04/30/2022","Vermont","Pacific Islander","      0",179,0,NA,NA,FALSE,NA
"282","04/30/2022","Vermont","Latino","     NA",13318,NA,NA,NA,FALSE,NA
"283","04/30/2022","Virginia","White"," 13,049",5221698,250,218.370076880964,220.888820992165,TRUE,218
"284","04/30/2022","Virginia","Black","  4,509",1643711,274,335.739581246617,339.811075483845,TRUE,336
"285","04/30/2022","Virginia","Indigenous","     29",22838,127,NA,NA,FALSE,NA
"286","04/30/2022","Virginia","Asian","    570",597962,95,NA,130.690092688725,FALSE,131
"287","04/30/2022","Virginia","Pacific Islander","     NA",6377,NA,NA,NA,FALSE,NA
"288","04/30/2022","Virginia","Latino","  1,040",855301,122,296.583037117297,295.144509112904,TRUE,297
"289","04/30/2022","Washington","White","  9,092",5132984,177,155.566246738928,156.488882984245,TRUE,156
"290","04/30/2022","Washington","Black","    420",310512,135,NA,234.208940908529,FALSE,234
